20,160,1,10,255:105:180,visible
60,160,1,10,255:105:180,visible
100,160,1,10,255:105:180,visible
140,160,1,10,255:105:180,visible
180,160,1,10,255:105:180,visible
220,160,1,10,255:105:180,visible
260,160,1,10,255:105:180,visible
300,160,1,10,255:105:180,visible
340,160,1,10,255:105:180,visible
380,160,1,10,255:105:180,visible
420,160,1,10,255:105:180,visible
460,160,1,10,255:105:180,visible
20,180,1,10,255:0:0,visible
60,180,1,10,255:0:0,visible
100,180,1,10,255:0:0,visible
140,180,1,10,255:0:0,visible
180,180,1,10,255:0:0,visible
220,180,1,10,255:0:0,visible
260,180,1,10,255:0:0,visible
300,180,1,10,255:0:0,visible
340,180,1,10,255:0:0,visible
380,180,1,10,255:0:0,visible
420,180,1,10,255:0:0,visible
460,180,1,10,255:0:0,visible
20,200,1,10,255:215:0,visible
60,200,1,10,255:215:0,visible
100,200,1,10,255:215:0,visible
140,200,1,10,255:215:0,visible
180,200,1,10,255:215:0,visible
220,200,1,10,255:215:0,visible
260,200,1,10,255:215:0,visible
300,200,1,10,255:215:0,visible
340,200,1,10,255:215:0,visible
380,200,1,10,255:215:0,visible
420,200,1,10,255:215:0,visible
460,200,1,10,255:215:0,visible
20,220,1,10,0:255:0,visible
60,220,1,10,0:255:0,visible
100,220,1,10,0:255:0,visible
140,220,1,10,0:255:0,visible
180,220,1,10,0:255:0,visible
220,220,1,10,0:255:0,visible
260,220,1,10,0:255:0,visible
300,220,1,10,0:255:0,visible
340,220,1,10,0:255:0,visible
380,220,1,10,0:255:0,visible
420,220,1,10,0:255:0,visible
460,220,1,10,0:255:0,visible
20,240,1,10,75:0:130,visible
60,240,1,10,75:0:130,visible
100,240,1,10,75:0:130,visible
140,240,1,10,75:0:130,visible
180,240,1,10,75:0:130,visible
220,240,1,10,75:0:130,visible
260,240,1,10,75:0:130,visible
300,240,1,10,75:0:130,visible
340,240,1,10,75:0:130,visible
380,240,1,10,75:0:130,visible
420,240,1,10,75:0:130,visible
460,240,1,10,75:0:130,visible
20,260,1,10,128:0:128,visible
60,260,1,10,128:0:128,visible
100,260,1,10,128:0:128,visible
140,260,1,10,128:0:128,visible
180,260,1,10,128:0:128,visible
220,260,1,10,128:0:128,visible
260,260,1,10,128:0:128,visible
300,260,1,10,128:0:128,visible
340,260,1,10,128:0:128,visible
380,260,1,10,128:0:128,visible
420,260,1,10,128:0:128,visible
460,260,1,10,128:0:128,visible
20,280,1,10,0:255:255,visible
60,280,1,10,0:255:255,visible
100,280,1,10,0:255:255,visible
140,280,1,10,0:255:255,visible
180,280,1,10,0:255:255,visible
220,280,1,10,0:255:255,visible
260,280,1,10,0:255:255,visible
300,280,1,10,0:255:255,visible
340,280,1,10,0:255:255,visible
380,280,1,10,0:255:255,visible
420,280,1,10,0:255:255,visible
460,280,1,10,0:255:255,visible
